year,AVISO,NASA,NOAA
1993.5,-34.94342258249327,-33.02244088986946,-36.19209726629241
1994.5,-33.94075165627705,-28.48190034932892,-31.540332560410057
1995.5,-31.333986221907683,-24.551089538518106,-25.952998594565656
1996.5,-27.73698524690768,-23.699918367346935,-22.555332560410058
1997.5,-23.44286429870948,-19.112711160139728,-18.606419904438578
1998.5,-20.017241460871638,-20.61811656554513,-19.448541116559788
1999.5,-17.98283713654732,-18.71649494392351,-20.304601722620394
2000.5,-14.36801794735813,-13.496224673653245,-16.098567854527705
2001.5,-9.762370650060834,-7.22352197095054,-10.761672429691103
2002.5,-7.137384441352122,-5.704918367346938,-9.181992580350236
2003.5,-3.871884433844617,-3.8340625114910813,-5.932237092714782
2004.5,-1.6535871365473227,-1.63217061959919,-4.313548568124617
2005.5,3.01180826885809,3.0091807317521617,-1.063243310917155
2006.5,5.389521114203433,4.343692743764173,1.4183275703088931
2007.5,6.647774755344571,4.987829380400811,1.3378470898284185
2008.5,9.913026979282797,7.300081632653064,5.375666071600886
2009.5,14.407348268858094,12.375126677698107,8.933225848869146
2010.5,16.17453340399323,13.641072623644053,10.338793035774358
2011.5,15.558690431020246,12.925937488508918,8.662878559654406
2012.5,25.914285025614845,23.992423974995408,19.020694720067358
2013.5,28.652335836425664,26.265667218238647,21.36920363868497
2014.5,31.37797528087009,30.08119274376418,24.26110534808667
2015.5,40.75922502561485,40.845667218238646,32.92838763036896
2016.5,44.66908502561485,42.52620775877918,36.125920162901494
2017.5,46.33218934993917,42.549180731752166,37.04525567488406
2018.5,50.11905556615537,46.0643158668873,39.80568492766626
2019.5,56.75714502561482,53.64215370472513,46.19514438712571
2020.5,59.63345222531454,54.11869274376418,48.876495738477075
2021.5,64.69521475534458,58.07404559661703,53.276876323143355
2022.5,67.49800691750673,60.504856407427845,55.90935576268036
2023.5,73.53955016075,68.24566721823864,61.70311736009869
2024.5,76.78980151210132,72.81728883986027,65.12190114388247
